Id,Title,Short_Title,Year,citescore
1,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,CVPR,2018-01-01,37.26
2,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,CVPR,2017-01-01,18.18
3,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,CVPR,2016-01-01,12.72
4,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,CVPR,2015-01-01,6.19
5,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,CVPR,2014-01-01,5.05
6,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,CVPR,2013-01-01,5.25
7,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,CVPR,2012-01-01,3.23
8,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,CVPR,2011-01-01,2.09
9,Journal of Statistical Software,JSS,2018-01-01,25.02
10,Journal of Statistical Software,JSS,2017-01-01,16.32
11,Journal of Statistical Software,JSS,2016-01-01,7.71
12,Journal of Statistical Software,JSS,2015-01-01,5.02
13,Journal of Statistical Software,JSS,2014-01-01,6.37
14,Journal of Statistical Software,JSS,2013-01-01,7.12
15,Journal of Statistical Software,JSS,2012-01-01,4.93
16,Journal of Statistical Software,JSS,2011-01-01,4.59
17,IEEE Transactions on Pattern Analysis and Machine Intelligence,PAMI,2018-01-01,19.67
18,IEEE Transactions on Pattern Analysis and Machine Intelligence,PAMI,2017-01-01,12.75
19,IEEE Transactions on Pattern Analysis and Machine Intelligence,PAMI,2016-01-01,13.29
20,IEEE Transactions on Pattern Analysis and Machine Intelligence,PAMI,2015-01-01,12.66
21,IEEE Transactions on Pattern Analysis and Machine Intelligence,PAMI,2014-01-01,11.05
22,IEEE Transactions on Pattern Analysis and Machine Intelligence,PAMI,2013-01-01,11.8
23,IEEE Transactions on Pattern Analysis and Machine Intelligence,PAMI,2012-01-01,10.09
24,IEEE Transactions on Pattern Analysis and Machine Intelligence,PAMI,2011-01-01,8.89
25,Foundations and Trends in Machine Learning,FTML,2018-01-01,19
26,Foundations and Trends in Machine Learning,FTML,2017-01-01,10.9
27,Foundations and Trends in Machine Learning,FTML,2016-01-01,10
28,Foundations and Trends in Machine Learning,FTML,2015-01-01,17.3
29,Foundations and Trends in Machine Learning,FTML,2014-01-01,16
30,Foundations and Trends in Machine Learning,FTML,2013-01-01,31.8
31,Foundations and Trends in Machine Learning,FTML,2012-01-01,15.82
32,Foundations and Trends in Machine Learning,FTML,2011-01-01,8.5
33,Proceedings of the IEEE International Conference on Computer Vision,ICCV,2018-01-01,16.64
34,Proceedings of the IEEE International Conference on Computer Vision,ICCV,2017-01-01,11.67
35,Proceedings of the IEEE International Conference on Computer Vision,ICCV,2016-01-01,9.92
36,Proceedings of the IEEE International Conference on Computer Vision,ICCV,2015-01-01,3.9
37,Proceedings of the IEEE International Conference on Computer Vision,ICCV,2014-01-01,2.49
38,Proceedings of the IEEE International Conference on Computer Vision,ICCV,2013-01-01,3.16
39,Proceedings of the IEEE International Conference on Computer Vision,ICCV,2012-01-01,1.64
40,Proceedings of the IEEE International Conference on Computer Vision,ICCV,2011-01-01,2.54
